CVE,HAS_PATCH,FILES,FIX_COMMIT
SYZBOT-01affb1491750534,YES,kernel/workqueue.c,70e1683ca3a6474360af1d3a020a9a98c8492cc0
SYZBOT-08f3e9d26e5541e1,YES,kernel/rcu/srcutree.c,844a378de3372c923909681706d62336d702531e
SYZBOT-123b88b9ddea8e98,YES,net/core/sock.c;net/sctp/diag.c;net/tipc/socket.c,70c2655849a25431f31b505a07fe0c861e5e41fb
SYZBOT-1b830cb1f67689d4,YES,drivers/crypto/chelsio/chtls/chtls_io.c;drivers/nvme/host/tcp.c;net/core/datagram.c;net/core/sock.c;net/ipv4/tcp.c;net/sctp/socket.c,3f926af3f4d688e2e11e7f8ed04e277a14d4d4a4
SYZBOT-1c486d0b62032c82,YES,fs/exec.c,af7bb0d2ca459f15cb5ca604dab5d9af103643f0
SYZBOT-2e4de7fe846aba66,YES,drivers/net/tun.c,c39e342a050a4425348e6fe7f75827c0a1a7ebc5
SYZBOT-35301db28c64310d,YES,drivers/net/macsec.c,32d0a49d36a2a306c2e47fe5659361e424f0ed3f
SYZBOT-3536db46dfa58c57,YES,kernel/bpf/bpf_lru_list.c,6df8fb83301d68ea0a0c0e1cbcc790fcc333ed12
SYZBOT-371a9ea56d82de71,YES,net/ipv4/tcp.c;net/ipv4/tcp_diag.c;net/ipv4/tcp_input.c;net/ipv4/tcp_ipv4.c;net/ipv4/tcp_minisocks.c;net/ipv4/tcp_output.c;net/ipv6/tcp_ipv6.c,7db48e983930285b765743ebd665aecf9850582b
SYZBOT-373cf39d336f4370,YES,net/core/stream.c;net/ipv4/tcp_bpf.c;net/llc/af_llc.c;net/smc/smc_close.c;net/smc/smc_rx.c;net/smc/smc_tx.c;net/tipc/socket.c;net/tls/tls_main.c,d0ac89f6f9879fae316c155de77b5173b3e2c9c9
SYZBOT-3872b8b1d5ece2a8,YES,kernel/rcu/tree_exp.h;kernel/rcu/tree_plugin.h,314eeb43e5f22856b281c91c966e51e5782a3498
SYZBOT-392f4c8f5827466f,YES,net/ipv4/icmp.c,bbab7ef235031f6733b5429ae7877bfa22339712
SYZBOT-3cc3a12efa69aa6f,YES,net/core/dev.c;net/core/net-sysfs.c,cc26c2661fefea215f41edb665193324a5f99021
SYZBOT-416320b6b3545cbf,YES,net/core/dev.c,7a10d8c810cfad3e79372d7d1c77899d86cd6662
SYZBOT-44cf88a58d91b12b,YES,net/ipv4/raw.c,153a0d187e767c68733b8e9f46218eb1f41ab902
SYZBOT-453b4249be2d6230,YES,net/xfrm/xfrm_policy.c,de5724ca38fd5e442bae9c1fab31942b6544012d
SYZBOT-483d6c9b9231ea7e,YES,net/9p/trans_fd.c,fbc0283fbeae27b88448c90305e738991457fee2
SYZBOT-4a03518df1e31b53,YES,fs/ext4/extents_status.c,492888df0c7b42fc0843631168b0021bc4caee84
SYZBOT-4a06d4373fd52f0b,YES,fs/notify/inotify/inotify_fsnotify.c,c915d8f5918bea7c3962b09b8884ca128bfd9b0c
SYZBOT-4b16e156132582a9,YES,net/core/sock.c;net/ipv4/tcp_ipv4.c;net/llc/llc_conn.c;net/sctp/input.c;net/tipc/socket.c;net/x25/x25_dev.c,8265792bf8871acc2d00fd03883d830e2249d395
SYZBOT-4dfb96a94317a78f,YES,kernel/rcu/tree.c,2431774f04d1050292054c763070021bade7b151
SYZBOT-52cb782c704e243e,YES,net/ipv6/route.c,1bef4c223b8588cf50433bdc2c6953d82949b3b3
SYZBOT-52e3dbded1f71729,YES,net/kcm/kcmsock.c,15e4dabda11b0fa31d510a915d1a580f47dfc92e
SYZBOT-5366159cc4c1d817,YES,kernel/time/hrtimer.c,56144737e67329c9aaed15f942d46a6302e2e3d8
SYZBOT-548e316cdc0424e0,YES,include/net/sock.h,b71eaed8c04f72a919a9c44e83e4ee254e69e7f3
SYZBOT-565f500a8d3fb9b7,YES,net/ipv4/fib_semantics.c,0a6e6b3c7db6c34e3d149f09cd714972f8753e3f
SYZBOT-5676077ba016d741,YES,net/ipv4/ip_tunnel.c;net/ipv6/ip6_tunnel.c,4b397c06cb987935b1b097336532aa6b4210e091
SYZBOT-5b3f051182e44d74,YES,include/net/arp.h;include/net/ndisc.h;include/net/sock.h,25c7a6d1f90e208ec27ca854b1381ed39842ec57
SYZBOT-5cce5938c6c2c518,YES,drivers/net/ethernet/chelsio/inline_crypto/chtls/chtls_cm.c;net/dccp/ipv4.c;net/ipv4/af_inet.c;net/ipv4/datagram.c;net/ipv4/tcp_ipv4.c;net/sctp/socket.c,f866fbc842de5976e41ba874b76ce31710b634b5
SYZBOT-6182afad5045e670,YES,net/rxrpc/conn_event.c;net/rxrpc/output.c;net/rxrpc/peer_event.c;net/rxrpc/proc.c;net/rxrpc/rxgk.c;net/rxrpc/rxkad.c,5d5fe8bcd331f1e34e0943ec7c18432edfcf0e8b
SYZBOT-62955e4f963d38ab,YES,net/ipv4/tcp.c;net/ipv4/tcp_minisocks.c;net/ipv4/tcp_output.c,e0d694d638dba768b47be31c22e1a9b4f862f561
SYZBOT-630679ddf6c0deba,YES,net/core/filter.c;net/core/skbuff.c;net/core/sock.c;net/ipv4/tcp.c;net/ipv4/tcp_input.c,ebb3b78db7bf842270a46fd4fe7cc45c78fa5ed6
SYZBOT-6a2a295ae3340e8e,YES,net/ipv4/tcp.c;net/ipv4/tcp_diag.c;net/ipv4/tcp_ipv4.c;net/ipv4/tcp_minisocks.c;net/ipv4/tcp_output.c;net/ipv6/tcp_ipv6.c,0f31746452e6793ad6271337438af8f4defb8940
CVE-2022-48830,YES,net/can/isotp.c,7c759040c1dd03954f650f147ae7175476d51314
CVE-2022-48931,YES,fs/configfs/dir.c,84ec758fb2daa236026506868c8796b0500c047d
CVE-2022-49215,YES,net/xdp/xsk.c,18b1ab7aa76bde181bdb1ab19a87fa9523c32f21
CVE-2022-49443,YES,include/linux/list.h,d679ae94fdd5d3ab00c35078f5af5f37e068b03d
CVE-2022-49578,YES,net/ipv4/sysctl_net_ipv4.c,9b55c20f83369dd54541d9ddbe3a018a8377f451
CVE-2022-49589,YES,drivers/net/amt.c;net/ipv4/igmp.c,8ebcc62c738f68688ee7c6fec2efe5bc6d3d7e60
CVE-2022-49607,YES,kernel/events/core.c,68e3c69803dada336893640110cb87221bb01dcf
CVE-2022-49634,YES,kernel/sysctl.c,7dee5d7747a69aa2be41f04c6a7ecfe3ac8cdf18
CVE-2022-49641,YES,kernel/sysctl.c,4762b532ec9539755aab61445d5da6e1926ccb99
CVE-2023-53046,YES,net/bluetooth/hci_sync.c,1c66bee492a5fe00ae3fe890bb693bfc99f994c6
CVE-2024-26861,YES,drivers/net/wireguard/receive.c,bba045dc4d996d03dce6fe45726e78a1a1f6d4c3
CVE-2024-26862,YES,net/core/dev.c;net/packet/af_packet.c,6ebfad33161afacb3e1e59ed1c2feefef70f9f97
CVE-2024-26984,YES,drivers/gpu/drm/nouveau/nvkm/subdev/instmem/nv50.c,fff1386cc889d8fb4089d285f883f8cba62d82ce
