bug_id	tier	label	notes	lock+	lock-	R_ONCE	W_ONCE	atomic	data_race	title
CVE-2012-3511	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2012-3511
CVE-2013-7026	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2013-7026
CVE-2014-9914	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2014-9914
CVE-2015-4170	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	1	0	CVE-2015-4170
CVE-2018-20836	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2018-20836
CVE-2022-48689	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-48689
CVE-2022-48745	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-48745
CVE-2022-48830	C	PROBABLY_GOOD	cve+real_sync	2	0	0	0	0	0	CVE-2022-48830
CVE-2022-48842	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-48842
CVE-2022-48898	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-48898
CVE-2022-48931	C	PROBABLY_GOOD	cve+real_sync	3	0	0	0	0	0	CVE-2022-48931
CVE-2022-49215	C	PROBABLY_GOOD	cve+real_sync	4	1	0	0	0	0	CVE-2022-49215
CVE-2022-49344	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-49344
CVE-2022-49414	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-49414
CVE-2022-49443	C	PROBABLY_GOOD	cve+real_sync	0	0	1	2	0	0	CVE-2022-49443
CVE-2022-49554	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	0	0	0	0	CVE-2022-49554
CVE-2022-49571	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49571
CVE-2022-49572	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49572
CVE-2022-49573	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49573
CVE-2022-49574	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	3	0	0	0	CVE-2022-49574
CVE-2022-49575	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49575
CVE-2022-49576	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	4	0	0	0	CVE-2022-49576
CVE-2022-49577	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49577
CVE-2022-49578	C	PROBABLY_GOOD	cve+real_sync	0	0	3	1	0	0	CVE-2022-49578
CVE-2022-49579	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49579
CVE-2022-49580	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49580
CVE-2022-49585	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49585
CVE-2022-49586	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	5	0	0	0	CVE-2022-49586
CVE-2022-49587	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49587
CVE-2022-49588	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49588
CVE-2022-49589	C	PROBABLY_GOOD	cve+real_sync	0	0	13	1	0	0	CVE-2022-49589
CVE-2022-49590	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	8	0	0	0	CVE-2022-49590
CVE-2022-49593	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49593
CVE-2022-49594	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49594
CVE-2022-49595	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49595
CVE-2022-49596	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49596
CVE-2022-49597	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49597
CVE-2022-49598	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49598
CVE-2022-49599	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	3	0	0	0	CVE-2022-49599
CVE-2022-49600	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49600
CVE-2022-49601	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49601
CVE-2022-49602	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49602
CVE-2022-49603	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49603
CVE-2022-49604	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49604
CVE-2022-49607	C	PROBABLY_GOOD	cve+real_sync	5	4	0	0	1	0	CVE-2022-49607
CVE-2022-49629	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	4	0	0	0	CVE-2022-49629
CVE-2022-49630	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49630
CVE-2022-49631	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49631
CVE-2022-49632	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49632
CVE-2022-49633	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49633
CVE-2022-49634	C	PROBABLY_GOOD	cve+real_sync	0	0	1	1	0	0	CVE-2022-49634
CVE-2022-49637	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	1	0	0	0	CVE-2022-49637
CVE-2022-49638	C	NEEDS_REVIEW	no_real_sync_primitive	0	0	2	0	0	0	CVE-2022-49638
