CVE,HAS_PATCH,FILES,FIX_COMMIT
SYZBOT-0b272670f47bbf00,YES,net/ipv4/fib_semantics.c;net/ipv4/fib_trie.c;net/ipv4/route.c,9fcf986cc4bc6a3a39f23fbcbbc3a9e52d3c24fd
SYZBOT-0c155cd16222a6b8,YES,net/core/dev.c;net/sched/sch_generic.c,90b2be27bb0e56483f335cc10fb59ec66882b949
SYZBOT-10a1def5445d4902,YES,net/core/datagram.c,7c422d0ce97552dde4a97e6290de70ec6efb0fc6
SYZBOT-134336b86f728d6e,YES,kernel/rcu/tree_exp.h,15c7c972cd26d89a26788e609c53b5a465324a6c
SYZBOT-1651b5234028c294,YES,net/netfilter/ipvs/ip_vs_conn.c;net/netfilter/ipvs/ip_vs_core.c;net/netfilter/ipvs/ip_vs_ctl.c;net/netfilter/ipvs/ip_vs_est.c,944b6b216c0387ac3050cd8b773819ae360bfb1c
SYZBOT-16bae128392924ec,YES,net/netlink/af_netlink.c,a1865f2e7d10dde00d35a2122b38d2e469ae67ed
SYZBOT-1f27d25f8a179480,YES,net/ipv4/tcp.c;net/ipv4/tcp_diag.c;net/ipv4/tcp_input.c;net/ipv4/tcp_ipv4.c;net/ipv4/tcp_minisocks.c;net/ipv6/tcp_ipv6.c,dba7d9b8c739df27ff3a234c81d6c6b23e3986fa
SYZBOT-241a778c1f735006,YES,include/net/busy_poll.h,ee8d153d46a3b98c064ee15c0c0a3bbf1450e5a1
SYZBOT-250e1a870af0ced3,YES,net/netlink/af_netlink.c,a939d14919b799e6fff8a9c80296ca229ba2f8a4
SYZBOT-25ceba325246fa6c,YES,net/ipv6/af_inet6.c;net/ipv6/ipv6_sockglue.c,086d49058cd8471046ae9927524708820f5fd1c7
SYZBOT-2737094b72705e0f,YES,net/ipv4/af_inet.c;net/ipv6/af_inet6.c,9dfc685e0262d4c5e44e13302f89841fa75173ca
SYZBOT-282e13b9bc8ac284,YES,net/core/datagram.c;net/core/sock.c;net/ipv4/inet_diag.c;net/ipv4/tcp.c;net/ipv4/tcp_output.c;net/sched/em_meta.c,ab4e846a82d0ae00176de19f2db3c5c64f8eb5f2
SYZBOT-2be2f8da254ea650,YES,net/packet/af_packet.c,b756ad928d98e5ef0b74af7546a6a31a8dadde00
SYZBOT-2d373c9936c00d7e,YES,sound/core/seq/seq_clientmgr.c;sound/core/seq/seq_memory.c,e3cd33ab17c33bd8f1a9df66ec83a15dd8f7afbb
SYZBOT-30564052abaa0857,YES,net/core/sock.c,0dbffbb5335a1e3aa6855e4ee317e25e669dd302
SYZBOT-30c996283da1e6ce,YES,net/ipv4/tcp.c,a5a7daa52edb5197a3b696afee13ef174dc2e993
SYZBOT-31ef9215c568bf85,YES,net/ipv6/sit.c,cb34b7cf17ecf33499c9298943f85af247abc1e9
SYZBOT-37918fd039da476c,YES,net/netfilter/ipvs/ip_vs_ctl.c,c24b75e0f9239e78105f81c5f03a751641eb07ef
SYZBOT-3c750be01dab672c,YES,io_uring/io_uring.c,a13030fd194c88961be4679f87a1380f1bda0ebe
SYZBOT-479918f96105d14c,YES,net/ipv4/udp.c,137a0dbe3426fd7bcfe3f8117b36a87b3590e4eb
SYZBOT-576cc007eb9f2c96,YES,include/sound/rawmidi.h,dfa9a5efe8b932a84b3b319250aa3ac60c20f876
SYZBOT-5a486fef3de40e0d,YES,io_uring/register.c,e358e09a894dbcd51fdbbcf62bec1df249915834
SYZBOT-5b22981f6d3c7be1,YES,net/bridge/br_forward.c;net/bridge/br_input.c,44bdb313da57322c9b3c108eb66981c6ec6509f4
SYZBOT-5c54bd3eb218bb59,YES,kernel/time/posix-timers.c,8ce8849dd1e78dadcee0ec9acbd259d239b7069f
SYZBOT-63cbe31877bb80ef,YES,sound/core/seq/seq_queue.h,4ebd47037027c4beae99680bff3b20fdee5d7c1e
SYZBOT-3b6b32dc50537a49,YES,fs/eventpoll.c,6474353a5e3d0b2cf610153cea0c61f576a36d0a
SYZBOT-3d367d1df1d2b67f,YES,sound/core/rawmidi.c,88a06d6fd6b369d88cec46c62db3e2604a2f50d5
SYZBOT-417aeb05fd190f3a,YES,mm/hugetlb.c,21cc2b5c5062a256ae9064442d37ebbc23f5aef7
SYZBOT-65c6c92d04304d0a,YES,sound/core/seq/seq_queue.c,bb51e669fa49feb5904f452b2991b240ef31bc97
