case,status,recall,threads,objs,selfrace,bugs,reports_tp,reports_fp,reqs,time_sec,prompt_tokens,completion_tokens,total_tokens
CVE-2013-1792,CLEAN/DONE,-,1,10,10,0,0,0,7,61,67808,3432,71240
CVE-2015-7550,CLEAN/DONE,-,1,8,8,0,0,0,7,46,72834,2385,75219
CVE-2016-7911,FOUND,HIT,2,1,0,1,1,0,7,32,30067,2129,32196
CVE-2016-9806,FOUND,HIT,2,56,0,4,2,2,48,743,945462,53938,999400
CVE-2017-15265,FOUND,HIT,2,75,0,4,3,1,83,896,1543827,57357,1601184
CVE-2017-6346,FOUND,HIT,1,14,14,4,2,2,28,603,659609,33938,693547
CVE-2022-48830,FOUND,HIT,1,26,26,4,3,1,34,539,1086280,26843,1113123
CVE-2022-48931,CLEAN/DONE,-,1,6,6,0,0,0,8,54,88166,2671,90837
CVE-2022-49215,FOUND,HIT,2,3,0,2,2,0,12,107,91761,6502,98263
CVE-2022-49607,FOUND,MISS,5,42,0,2,0,2,29,462,430226,27357,457583
CVE-2023-53046,CLEAN/DONE,-,2,4,0,0,0,0,8,34,45362,2163,47525
CVE-2024-26974,CLEAN/DONE,-,2,4,0,0,0,0,10,36,58633,2489,61122
CVE-2024-26984,FOUND,HIT,1,1,1,1,1,0,5,44,33942,1894,35836
CVE-2024-27019,FOUND,HIT,2,2,0,1,1,0,7,42,32113,2212,34325
CVE-2024-27030,FOUND,HIT,1,1,1,1,1,0,5,35,27092,1343,28435
CVE-2024-27404,FOUND,HIT,2,28,0,6,2,4,32,614,640247,37704,677951
CVE-2024-35898,FOUND,HIT,2,4,0,1,1,0,9,192,71216,9575,80791
CVE-2024-35977,CLEAN/DONE,-,2,0,0,0,0,0,0,0,0,0,0
CVE-2024-35986,CLEAN/DONE,-,2,0,0,0,0,0,0,0,0,0,0
CVE-2024-35999,CLEAN/DONE,-,3,34,0,0,0,0,46,560,881692,31524,913216
CVE-2024-36938,CLEAN/DONE,-,2,3,0,0,0,0,8,47,42301,3512,45813
CVE-2024-39503,FOUND,HIT,5,32,0,3,3,0,48,512,664691,26729,691420
CVE-2024-39508,FOUND,HIT,2,39,0,1,1,0,49,498,898485,33554,932039
CVE-2024-40953,FOUND,HIT,1,1,1,1,1,0,3,18,13014,931,13945
CVE-2024-41081,FOUND,HIT,1,4,4,2,1,1,15,190,127081,10085,137166
CVE-2024-42234,CLEAN/DONE,-,2,11,0,0,0,0,9,63,59119,3486,62605
CVE-2024-43830,FOUND,HIT,5,21,0,1,1,0,60,446,692538,22084,714622
CVE-2024-43891,CLEAN/DONE,-,1,0,0,0,0,0,0,6,0,0,0
CVE-2024-45000,CLEAN/DONE,-,2,1,0,0,0,0,0,1,0,0,0
CVE-2024-46704,CLEAN/DONE,-,2,39,0,0,0,0,28,233,387342,13553,400895
CVE-2024-47715,CLEAN/DONE,-,1,0,0,0,0,0,0,1,0,0,0
CVE-2024-50082,CLEAN/DONE,-,2,6,0,0,0,0,13,104,98051,6722,104773
CVE-2024-53124,FOUND,MISS,1,31,31,5,0,5,38,871,841828,46719,888547
CVE-2024-53136,CLEAN/DONE,-,1,0,0,0,0,0,0,1,0,0,0
CVE-2024-53160,CLEAN/DONE,-,2,26,0,0,0,0,52,475,975330,27468,1002798
CVE-2024-53186,FOUND,HIT,2,7,0,1,1,0,15,162,188239,8125,196364
CVE-2024-56555,FOUND,HIT,2,95,0,6,2,4,86,1236,2296548,78103,2374651
CVE-2024-56788,FOUND,HIT,2,6,0,1,1,0,5,55,45528,3144,48672
CVE-2024-58072,FOUND,HIT,2,107,43,2,1,1,84,1016,2500077,74602,2574679
CVE-2025-21732,FOUND,HIT,2,9,0,2,2,0,8,83,102919,6285,109204
CVE-2025-22050,FOUND,HIT,2,3,0,1,1,0,9,47,75946,2437,78383
CVE-2025-23142,FOUND,MISS,2,120,0,1,0,1,76,1051,1997969,70081,2068050
CVE-2025-23151,FOUND,HIT,2,21,0,2,2,0,7,76,98972,6103,105075
CVE-2025-37772,CLEAN/DONE,-,2,10,0,0,0,0,1,8,804,165,969
CVE-2025-37854,CLEAN/DONE,-,2,0,0,0,0,0,0,2,0,0,0
CVE-2025-37882,FOUND,MISS,2,70,0,4,0,4,87,895,4525586,67050,4592636
CVE-2025-37920,CLEAN/DONE,-,1,0,0,0,0,0,0,1,0,0,0
CVE-2025-38078,FOUND,HIT,2,21,0,3,2,1,43,534,995294,31391,1026685
CVE-2025-38104,FOUND,HIT,2,50,0,1,1,0,10,119,156969,7564,164533
CVE-2025-38165,FOUND,HIT,2,32,0,3,2,1,35,268,541628,15204,556832
CVE-2025-38217,CLEAN/DONE,-,1,0,0,0,0,0,0,0,0,0,0
CVE-2025-38242,CLEAN/DONE,-,1,0,0,0,0,0,1,19,879,27,906
