
### CVE-2016-7911  GT=['ioprio.c']  reports=1
    [1] C1: unmediated task->io_context check/use race with exit detach (severity: medium)  || block/ioprio.c:154 , blk-ioc.c:206

### CVE-2016-9806  GT=['af_netlink.c']  reports=4
    [1] C4: unsynchronized allocation-size hint race on nlk->max_recvmsg_len (severity: medium)  || af_netlink.c:2084
    [2] C6: unmediated skb->sk owner publication/read race (severity: medium)  || af_netlink.c:319 , af_netlink.c:223
    [3] C7: concurrent packet-type classification write on same skb layout field (severity: medium)  || 
    [4] C2: unlocked dump-state flag read races with mutex-protected cb_running transition (severity: medium)  || af_netlink.c:2136 , af_netlink.c:1867

### CVE-2017-15265  GT=['seq_clientmgr.c', 'seq_ports.c']  reports=4
    [1] C2: callback/private-data publication race with port teardown (severity: medium)  || sound/core/seq/seq_clientmgr.c:1280 , seq_ports.c:269
    [2] C1: subscriber object lifetime race / double free during concurrent clear_subscriber_list (severity: high  || seq_ports.c:245 , seq_ports.c:245
    [3] C3: concurrent mutation of snd_seq_event flags during validation/delivery (severity: medium)  || seq_clientmgr.c:564 , seq_clientmgr.c:966
    [4] C4: deletion/closing protocol not excluding concurrent port-info update (severity: high)  || seq_ports.c:262 , seq_ports.c:360

### CVE-2017-6346  GT=['af_packet.c']  reports=4
    [1] C3: unsynchronized TPACKET_V3 block sequence increment in prb_open_block (severity: medium)  || net/packet/af_packet.c:852 , net/packet/af_packet.c:852
    [2] C4: PACKET_VERSION update races with ring version decoding/validation (severity: medium)  || net/packet/af_packet.c:3559 , net/packet/af_packet.c:3608
    [3] C1: packet fanout rollover pointer lifetime race during fanout_add (severity: high)  || net/packet/af_packet.c:1709 , net/packet/af_packet.c:1710
    [4] C2: pg_vec buffer lifetime race between free_pg_vec and ring initialization/use (severity: high)  || i , i

### CVE-2022-48830  GT=['isotp.c']  reports=4
    [1] C2: unmediated ISO-TP RX state-machine race (severity: medium)  || net/can/isotp.c:491 , net/can/isotp.c:621
    [2] C2: unmediated self-race in ISO-TP RX block-size accounting (severity: high)  || net/can/isotp.c:580 , net/can/isotp.c:580
    [3] C3: unisolated ISO-TP TX flow-control timing update (severity: high)  || 
    [4] C1: unmediated ISO-TP RX STmin timestamp admission race (severity: medium)  || net/can/isotp.c:237

### CVE-2022-49215  GT=['xsk.c']  reports=2
    [1] C1: unmediated AF_XDP state transition observed concurrently with send bound check (severity: medium)  || net/xdp/xsk.c:209 , net/xdp/xsk.c:727
    [2] C2: unprotected xs->dev dereference races with device pointer clearing during AF_XDP unbind (severity: me  || net/xdp/xsk.c:444 , net/xdp/xsk.c:731

### CVE-2022-49607  GT=['core.c']  reports=2
    [1] C3: unmediated event->rcu_pending detach/reattach state race (severity: medium)  || kernel/events/core.c:5926 , kernel/events/core.c:5920
    [2] C1: unmediated BPF overflow-handler install/free atomicity violation (severity: high)  || 

### CVE-2024-26984  GT=['nv50.c']  reports=1
    [1] C1: BAR VMA lifetime race across concurrent nv50_instobj_kmap instances (severity: high)  || drivers/gpu/drm/nouveau/nvkm/subdev/instmem/nv50.c:128 , drivers/gpu/drm/nouveau/nvkm/subdev/instmem/nv50.c:168

### CVE-2024-27019  GT=['nf_tables_api.c']  reports=1
    [1] C1: REGION_ISOLATED violation on nf_tables_objects RCU list traversal vs unregister (severity: high)  || net/netfilter/nf_tables_api.c:6908 , net/netfilter/nf_tables_api.c:6908

### CVE-2024-27030  GT=['rvu.c']  reports=1
    [1] C1: unmediated self-race on mailbox header num_msgs during check/copy/clear (severity: medium)  || drivers/net/ethernet/marvell/octeontx2/af/rvu.c:2517 , i

### CVE-2024-27404  GT=['pm_netlink.c', 'subflow.c']  reports=6
    [1] C1: socket lifetime use-after-free in PM callback (severity: high)  || net/mptcp/pm_netlink.c:787
    [2] C2: unisolated MPTCP conn_list traversal vs list_add publication (severity: medium)  || net/mptcp/subflow.c:1571
    [3] C3: subflow parent pointer publication/use race (severity: medium)  || net/mptcp/subflow.c:494 , net/mptcp/subflow.c:1703
    [4] C5: parent remote_key publication/consumer race (severity: medium)  || net/mptcp/subflow.c:1543 , net/mptcp/subflow.c:459
    [5] C1: unsynchronized subflow remote_id update vs PM address/subflow selection (severity: medium)  || net/mptcp/pm_netlink.c:805 , net/mptcp/subflow.c:538
    [6] C2: unsynchronized bitfield flag update in subflow protocol state (severity: medium)  || net/mptcp/pm_netlink.c:476 , net/mptcp/subflow.c:454

### CVE-2024-35898  GT=['nf_tables_api.c']  reports=1
    [1] C1: unlocked nft flowtable-type registry traversal races with unregister list_del_rcu (severity: high)  || net/netfilter/nf_tables_api.c:8303 , net/netfilter/nf_tables_api.c:8156

### CVE-2024-39503  GT=['ip_set_core.c', 'ip_set_list_set.c']  reports=3
    [1] C1: concurrent ipset set destruction causing UAF/double destruction (severity: high)  || net/netfilter/ipset/ip_set_core.c:1185 , net/netfilter/ipset/ip_set_core.c:1183
    [2] C2: list:set GC timer use-after-free of set->data/member list during destroy (severity: high)  || net/netfilter/ipset/ip_set_list_set.c:176 , net/netfilter/ipset/ip_set_list_set.c:179
    [3] C2: list:set GC timer rearm allows post-destroy use-after-free of ip_set (severity: high)  || net/netfilter/ipset/ip_set_list_set.c:580 , net/netfilter/ipset/ip_set_core.c:1266

### CVE-2024-39508  GT=['io-wq.c']  reports=1
    [1] C4: unmediated io_wq_work flags cancellation/queueing race (severity: medium)  || io_uring/io-wq.c:895 , io_uring/io-wq.c:931

### CVE-2024-40953  GT=['kvm_main.c']  reports=1
    [1] C1: unmediated self-race on KVM round-robin boost cursor (severity: medium)  || virt/kvm/kvm_main.c:2589 , virt/kvm/kvm_main.c:2623

### CVE-2024-41081  GT=['ila_lwt.c']  reports=2
    [1] C1: unprotected concurrent skb destination metadata update (severity: high)  || net/ipv6/ila/ila_lwt.c:93 , net/ipv6/ila/ila_lwt.c:93
    [2] C2: concurrent skb lifetime violation / double free (severity: high)  || net/ipv6/ila/ila_lwt.c:97 , net/ipv6/ila/ila_lwt.c:97

### CVE-2024-43830  GT=['led-triggers.c']  reports=1
